# events.csv
event_id,team_id,event_start,event_end,created_at
event_001,team_001,2023-01-20 18:00:00+00:00,2023-01-20 20:00:00+00:00,2023-01-17 15:00:00+00:00
event_002,team_002,2023-01-25 09:00:00+00:00,2023-01-25 12:00:00+00:00,2023-01-22 10:00:00+00:00
event_003,team_001,2023-02-05 19:00:00+00:00,2023-02-05 21:00:00+00:00,2023-02-01 16:00:00+00:00
event_004,team_004,2023-02-15 10:00:00+00:00,2023-02-15 12:00:00+00:00,2023-02-12 09:00:00+00:00
event_005,team_003,2023-03-01 15:00:00+00:00,2023-03-01 17:00:00+00:00,2023-02-25 11:00:00+00:00
event_006,team_005,2023-03-10 18:30:00+00:00,2023-03-10 20:30:00+00:00,2023-03-07 14:00:00+00:00
event_007,team_001,2023-04-10 17:00:00+00:00,2023-04-10 19:00:00+00:00,2023-04-05 13:00:00+00:00
event_008,team_008,2023-04-15 09:00:00+00:00,2023-04-15 11:00:00+00:00,2023-04-12 08:00:00+00:00
event_009,team_009,2023-04-20 16:00:00+00:00,2023-04-20 18:00:00+00:00,2023-04-17 12:00:00+00:00
event_010,team_010,2023-04-25 11:00:00+00:00,2023-04-25 13:00:00+00:00,2023-04-22 10:00:00+00:00
