# members.csv
membership_id,group_id,role_title,joined_at
member_001,team_001,member,2023-01-16 10:30:00+00:00
member_002,team_001,admin,2023-01-16 10:35:00+00:00
member_003,team_002,member,2023-01-21 11:45:00+00:00
member_004,team_003,member,2023-02-02 14:10:00+00:00
member_005,team_004,member,2023-02-11 09:20:00+00:00
member_006,team_001,member,2023-02-15 10:00:00+00:00
member_007,team_005,admin,2023-03-06 17:00:00+00:00
member_008,team_006,member,2023-03-11 08:10:00+00:00
member_009,team_002,member,2023-03-15 10:00:00+00:00
member_010,team_007,member,2023-04-02 12:15:00+00:00
